lemma_id	lemma	dcs_grammar	raw	declined	presind	acc_rate	gloss
57749	ātman	m	13409	10853	0		the breath; the soul; principle of life and sensation; the individual soul; self; abstract individual; essence; nature; character; peculiarity (often ifc); the person or whole body considered as one and opposed to the separate members of the body; the body; the highest personal principle of life; Brahma; effort; firmness; the sun; fire; a son; identity (of a person)
204329	su	ind	13180	0	0		[ibc.] good-; [ibc.] very; quite; fein
143659	punar	ind	12502	0	0		back; home; in an opposite direction; again and again; repeatedly; further; moreover; besides; however; still; nevertheless
91970	dharma	mn	12450	6467	0		that which is established or firm; steadfast decree; statute; ordinance; law; usage; practice; customary observance or prescribed conduct; duty; right; justice (often as a synonym of punishment); virtue; morality; religion; religious merit; Law or Justice personified (as Indra); the law or doctrine of Buddhism; the ethical precepts of Buddhism (or the principal dharma called sūsra); the law of Northern Buddhism (in 9 canonical scriptures); nature; character; peculiar condition or essential quality; property; mark; peculiarity; a particular ceremony; sacrifice; the ninth mansion; an Upanishad; associating with the virtuous; religious abstraction; devotion; a bow; a Soma-drinker; name of the 15th Arhat of the present Avasarpiṇī; name of a son of Anu and father of Ghṛta; name of a son of Gāndhāra and father of Dhṛta; name of a son of Haihaya and father of Netra; name of a son of Pṛthuśravas and of Uśanas; name of a son of Suvrata; name of a son of Dīrghatapas; name of a king of Kaśmīra; name of a lexicographer; name of a son of Citraka; name of a son of Arthapati < son of Pāśupata
63463	indra	m	12172	10309	0		the god of the atmosphere and sky; the Indian Jupiter Pluvius or lord of rain (who in Vedic mythology reigns over the deities of the intermediate region or atmosphere); a prince; ifc. best; excellent; the first; the chief (of any class of objects); the pupil of the right eye (that of the left being called Indrāṇī or Indra's wife); the number fourteen; name of a grammarian; name of a physician; the plant Wrightia Antidysenterica; a vegetable poison; the twenty-sixth Yoga or division of a circle on the plane of the ecliptic; the Yoga star in the twenty-sixth Nakṣatra; the human soul; the portion of spirit residing in the body; night; one of the nine divisions of Jambudvīpa or the known continent; [min.] = indranīla = sapphire
157372	dā	1. Ā.	11970	3045	1410	0.91	to give; to offer to; to yield; to give (a daughter) in marriage; to pay; to give up; to sell; to answer; to deliver (a blow)
144475	putra	m	11750	9895	0		a son; child; a species of small venomous animal; (in astrol.) name of the fifth house; name of a son of Brahmiṣṭha; name of a son of Manu; a Bodhisattva; [gramm.] the word 'putra'
164189	anya	pron	11278	10272	0		other; another
163754	tva	n	10850	9994	0		(suffix creating abstract nouns)
157409	śru	4. P.	10505	1666	422	0.78	to hear; to listen to; to study
69571	rasa	mn	10073	6656	0		the sap or juice of plants; Juice of fruit; any liquid or fluid; the best or finest or prime part of anything; essence; marrow; water; liquor; drink; juice of the sugar-cane; syrup; any mixture; draught; elixir; potion; melted butter; milk; poison; nectar; soup; broth; a constituent fluid or essential juice of the body; serum; [medic.] the primary juice called chyle (formed from the food and changed by the bile into blood); mercury; quicksilver (sometimes regarded as a kind of quintessence of the human body, else where as the seminal fluid of Śiva); semen virile; myrrh; any mineral or metallic salt; a metal or mineral in a state of fusion; gold; Vanguieria Spinosa; a species of amaranth; green onion; resin; = amṛta; taste; flavour (as the principal quality of fluids); name of the number "six"; any object of taste; condiment; sauce; spice; seasoning; the tongue (as the organ of taste); taste or inclination or fondness for; love; affection; desire; charm; delight; (in rhet.) the taste or character of a work; the feeling or sentiment prevailing in a lit. work (from 8 to 10 Rasas are generally enumerated); the prevailing sentiment in human character; a kind of metre; name of the sacred syllable om; the son of a Nishāda and a Śanakī; [alchemy] a kind of mercury; pleasure
12243	karman	n	9938	7939	0		act; action; performance; business; name office; special duty; occupation; obligation; any religious act or rite; work; labour; activity (as opposed to rest); physicking; medical attendance; action consisting in motion (as the third among the seven categories of the Nyāya philosophy); calculation; product; result; effect; organ of sense(or of action); (in Gr.) the object; former act as leading to inevitable results; fate (as the certain consequence of acts in a previous life); the tenth lunar mansion; [gramm.] the passive
