lemma	slp1	class	freq	gloss
hotṛ	hotf	f_m_v	1680	sacrificer
sūta	sUta	a_m	1676	quicksilver
manuṣya	manuzya	a_m	1665	man
kanyā	kanyA	A_f	1658	girl
yaśas	yaSas	as_n	1632	beautiful appearance
savitṛ	savitf	f_m_v	1632	stimulator
rākṣasa	rAkzasa	a_m	1631	Rakṣas
bhāryā	BAryA	A_f	1626	wife
bīja	bIja	a_n	1622	seed
tāta	tAta	a_m	1612	father
dina	dina	a_n	1611	day
sukha	suKa	a_n	1574	ease
pāpa	pApa	a_n	1573	evil
kṣaṇa	kzaRa	a_m	1573	killing
jyotis	jyotis	is_n	1571	light
mitra	mitra	a_m	1570	friend
siddhi	sidDi	i_f	1560	accomplishment
ardha	arDa	a_n	1558	half
deha	deha	a_m	1556	form
gandha	ganDa	a_m	1548	smell
pāṇi	pARi	i_m	1535	hand
śūra	SUra	a_m	1535	strong or mighty or valiant man
akṣara	akzara	a_n	1534	syllable om
kula	kula	a_n	1533	herd
viś	viS	cons_f:viw	1532	settlement
antara	antara	a_n	1530	interior
astra	astra	a_n	1517	missile weapon
dakṣiṇā	dakziRA	A_f	1511	prolific cow
dravya	dravya	a_n	1508	substance
madhu	maDu	u_n	1502	anything sweet
vāsas	vAsas	as_n	1500	cloth
veda	veda	a_m	1496	knowledge
kṣaya	kzaya	a_m	1496	loss
droṇa	droRa	a_m	1491	raven or crow
viśeṣa	viSeza	a_m	1459	difference between
daṇḍa	daRqa	a_m	1459	stick
parvata	parvata	a_m	1449	mountain
bheda	Beda	a_m	1446	breaking
aha	aha	a_m	1443	aha
antarikṣa	antarikza	a_n	1437	atmosphere or sky
śeṣa	Seza	a_m	1436	remainder
vara	vara	a_m	1431	election
śakra	Sakra	a_m	1431	Wrightia Antidysenterica
adhvaryu	aDvaryu	u_m	1422	one who institutes an Adhvara
dhanus	Danus	us_n	1413	bow
graha	graha	a_m	1412	Rāhu or the dragon's head
bhartṛ	Bartf	f_m_v	1408	bearer
ājya	Ajya	a_n	1398	melted or clarified butter
ojas	ojas	as_n	1398	bodily strength
taila	tEla	a_n	1391	sesamum oil
vadha	vaDa	a_m	1391	murder
pitāmaha	pitAmaha	a_m	1386	paternal grandfather
bṛhaspati	bfhaspati	i_m	1383	planet Jupiter
citta	citta	a_n	1377	attending
udaka	udaka	a_n	1375	water
ṛtu	ftu	u_m	1366	any settled point of time
pattra	pattra	a_n	1366	wing of a bird
kṣīra	kzIra	a_n	1366	milk
nṛ	nf	f_m	1364	man
liṅga	liNga	a_n	1363	mark
tattva	tattva	a_n	1357	true or real state
samudra	samudra	a_m	1347	sea
prabhu	praBu	u_m	1346	master
bhīma	BIma	a_m	1341	Rumex Vesicarius
dvaya	dvaya	a_n	1340	twofold
tamas	tamas	as_n	1335	darkness
samara	samara	a_n	1335	coming together
tala	tala	a_m	1334	surface
mūrdhan	mUrDan	an_m_a	1332	forehead
aśvin	aSvin	in_m	1330	cavalier
mati	mati	i_f	1328	devotion
vega	vega	a_m	1323	violent agitation
bāṇa	bARa	a_m	1319	reed-shaft
vaiśampāyana	vESampAyana	a_m	1308	vaiśampāyana
vidyā	vidyA	A_f	1303	knowledge
viṣa	viza	a_n	1273	poison
traya	traya	a_n	1271	traya
yama	yama	a_m	1268	rein
kriyā	kriyA	A_f	1263	doing
roga	roga	a_m	1258	disease
māṃsa	mAMsa	a_n	1257	flesh
nadī	nadI	I_f	1251	flowing water
śiva	Siva	a_m	1251	happiness
bodhisattva	boDisattva	a_m	1246	bodhisattva
kṣatriya	kzatriya	a_m	1240	member of the military or reigning order
marut	marut	cons_m:marut	1236	storm-gods
pṛṣṭha	pfzWa	a_n	1235	back
pura	pura	a_n	1232	town
vaśa	vaSa	a_m	1228	will
prasāda	prasAda	a_m	1226	clearness
amṛta	amfta	a_n	1225	collective body of immortals
puṭa	puwa	a_m	1222	fold
śatru	Satru	u_m	1208	enemy
pārthiva	pArTiva	a_m	1206	inhabitant of the earth
sainya	sEnya	a_n	1202	body of troops
saṃjñā	saMjYA	A_f	1200	agreement
pakṣa	pakza	a_m	1195	wing
vāta	vAta	a_m	1192	wind or the wind-god
maṇḍala	maRqala	a_n	1181	disk
pramāṇa	pramARa	a_n	1173	measure
duryodhana	duryoDana	a_m	1172	duryodhana
āhuti	Ahuti	i_f	1166	offering oblations with fire to the deities
ratna	ratna	a_n	1161	gift
saṃjaya	saMjaya	a_m	1151	conquest
vṛtti	vftti	i_f	1151	rolling
vahni	vahni	i_m	1137	any animal that draws or bears along
vṛkṣa	vfkza	a_m	1134	tree
rajas	rajas	as_n	1127	sphere of vapour or mist
prakṛti	prakfti	i_f	1124	original or primary substance
bhīmasena	BImasena	a_m	1123	kind of camphor
bhakti	Bakti	i_f	1122	distribution
abhāva	aBAva	a_m	1121	non-existence
viṣaya	vizaya	a_m	1120	sphere
janman	janman	an_n_a	1115	birth
oṣadhi	ozaDi	i_f	1108	herb
mārga	mArga	a_m	1107	seeking
māyā	mAyA	A_f	1102	art
ātmaja	Atmaja	a_m	1099	son
cakra	cakra	a_n	1092	wheel
giri	giri	i_m	1086	mountain
cetas	cetas	as_n	1078	splendour
āśrama	ASrama	a_m	1063	hermitage
rāghava	rAGava	a_m	1052	descendant of Raghu
kumāra	kumAra	a_m	1051	child
lakṣmaṇa	lakzmaRa	a_m	1049	Ardea Sibirica
tanū	tanU	U_f	1047	person
sambhava	samBava	a_m	1039	being or coming together
sneha	sneha	a_m	1033	oiliness
vatsa	vatsa	a_m	1029	calf
gandharva	ganDarva	a_m	1028	Gandharva
vasu	vasu	u_m	1027	dwelling or dweller
kapāla	kapAla	a_m	1025	cup
jvara	jvara	a_m	1023	fever
gāyatrī	gAyatrI	I_f	1022	ancient metre of twentyfour syllables
āsana	Asana	a_n	1019	sitting
sarpis	sarpis	is_n	1016	clarified butter
adhyāya	aDyAya	a_m	1014	lesson
mūtra	mUtra	a_n	1014	fluid secreted by the kidneys
bhasman	Basman	an_n_a	1012	ashes
nāga	nAga	a_m	1004	snake
samaya	samaya	a_m	1003	coming together
rāvaṇa	rAvaRa	a_m	1002	rāvaṇa
puṣpa	puzpa	a_n	1001	flower
manu	manu	u_m	996	man
kāya	kAya	a_m	996	body
yogin	yogin	in_m	995	follower of the Yoga system
vikrama	vikrama	a_m	981	step
svasti	svasti	i_n	972	well-being
sarasvatī	sarasvatI	I_f	968	region abounding in pools and lakes
dhṛtarāṣṭra	DftarAzwra	a_m	967	whose empire is firm
kathā	kaTA	A_f	960	conversation
vyāghra	vyAGra	a_m	959	tiger
dānava	dAnava	a_m	958	dānava
yuga	yuga	a_n	957	yoke
dvāra	dvAra	a_n	955	door
nārada	nArada	a_m	954	nārada
ākāśa	AkASa	a_n	953	free or open space
retas	retas	as_n	948	flow
bhojana	Bojana	a_n	946	act of enjoying
jīvita	jIvita	a_n	944	living being
krodha	kroDa	a_m	942	anger
dhanaṃjaya	DanaMjaya	a_m	938	fire
īśa	ISa	a_m	937	master
sītā	sItA	A_f	936	furrow
vidhāna	viDAna	a_n	931	order
vastra	vastra	a_n	930	cloth
kṣatra	kzatra	a_n	930	dominion
kratu	kratu	u_m	928	plan
ācārya	AcArya	a_m	921	spiritual guide or teacher
āhavanīya	AhavanIya	a_m	920	āhavanīya
ākāra	AkAra	a_m	919	form
vāra	vAra	a_m	917	keeping back
varcas	varcas	as_n	916	vital power
duhitṛ	duhitf	f_f	914	daughter
śāstra	SAstra	a_n	913	order
stoma	stoma	a_m	913	praise
aditi	aditi	i_f	912	freedom
dhātu	DAtu	u_m	907	layer
krama	krama	a_m	907	step
vāsudeva	vAsudeva	a_m	904	patr. of Kṛṣṇa
yajus	yajus	us_n	896	religious reverence
loha	loha	a_n	894	red metal
gandhaka	ganDaka	a_m	891	sulphur
bhava	Bava	a_m	883	coming info existence
adhipa	aDipa	a_m	877	ruler
śūdra	SUdra	a_m	875	Śūdra
senā	senA	A_f	873	missile
prīti	prIti	i_f	865	any pleasurable sensation
śiṣya	Sizya	a_m	862	pupil
sahas	sahas	as_n	862	strength
samidh	samiD	cons_f:samit	860	firewood
maheśvara	maheSvara	a_m	859	great lord
pala	pala	a_n	858	particular weight
nimitta	nimitta	a_n	855	butt
bhikṣu	Bikzu	u_m	854	beggar
keśava	keSava	a_m	854	Rottleria tinctoria
mānava	mAnava	a_m	851	man
yatna	yatna	a_m	851	activity of will
sura	sura	a_m	847	god
vapus	vapus	us_n	847	form
nārī	nArI	I_f	847	woman
mahādeva	mahAdeva	a_m	846	mahādeva
upāya	upAya	a_m	845	coming near
barhis	barhis	is_n	844	sacrificial grass
toya	toya	a_n	840	water
kalpa	kalpa	a_m	839	law
yudh	yuD	cons_f:yut	838	war
haya	haya	a_m	835	horse
śānti	SAnti	i_f	833	tranquillity
locana	locana	a_m	831	eye
dhāman	DAman	an_n	827	dwelling-place
kuru	kuru	u_m	825	= ṛtvijas
udara	udara	a_n	823	belly
śaṃkara	SaMkara	a_m	822	Calotropis gigantea
pavitra	pavitra	a_n	815	means of purification
rāṣṭra	rAzwra	a_n	815	kingdom
parvan	parvan	an_n_a	815	knot
tathāgata	taTAgata	a_m	810	Gautama Buddha
caru	caru	u_m	808	kind of vessel
prajñāpāramitā	prajYApAramitA	A_f	803	perfection in wisdom
pāśa	pASa	a_m	802	snare
muhūrta	muhUrta	a_n	802	moment
hiraṇya	hiraRya	a_n	802	gold
anīka	anIka	a_n	801	face
pitta	pitta	a_n	800	bile
prayatna	prayatna	a_m	798	persevering effort
bali	bali	i_m	793	tribute
drava	drava	a_m	790	going
moha	moha	a_m	787	loss of consciousness
saṃgrāma	saMgrAma	a_m	782	assembly of people
janārdana	janArdana	a_m	782	Viṣṇu or Kṛṣṇa
vāja	vAja	a_m	779	strength
vṛddhi	vfdDi	i_f	777	growth
ṛta	fta	a_n	776	oath
prabhāva	praBAva	a_m	776	might
pāpman	pApman	an_m_a	770	evil
pārada	pArada	a_m	769	[alchemy] quicksilver
vaiśya	vESya	a_m	768	peasant
mahī	mahI	I_f	767	earth
siṃha	siMha	a_m	764	lion
nārāyaṇa	nArAyaRa	a_m	761	son of the original Man
karaṇa	karaRa	a_n	761	act of making
śastra	Sastra	a_n	759	instrument for cutting or wounding
svabhāva	svaBAva	a_m	759	native place
pārśva	pArSva	a_m	758	region of the ribs
pratiṣṭhā	pratizWA	A_f	758	standing still
sāgara	sAgara	a_m	755	ocean
grāma	grAma	a_m	754	inhabited place
mṛga	mfga	a_m	754	forest animal or wild beast
bhiṣaj	Bizaj	cons_m:Bizak	753	healer
śūla	SUla	a_n	752	sharp iron pin or stake
pāna	pAna	a_n	751	drinking
bharata	Barata	a_m	749	priest
nandana	nandana	a_m	749	son
adhipati	aDipati	i_m	749	king
gātra	gAtra	a_n	747	limb or member of the body
āśraya	ASraya	a_m	746	recipient
vasiṣṭha	vasizWa	a_m	743	vasiṣṭha
nagara	nagara	a_n	742	town
nṛpati	nfpati	i_m	742	king
