rank	lemma_id	lemma	dcs_grammar	upos	count	gloss
3980	116346	śakaṭa	n	NOUN	168	a cart; waggon; car; carriage; the five stars forming the asterism Rohiṇī compared to a cart; a particular configuration of stars and planets (when all the planets are in the Ist and 7th house); a form of military array resembling a wedge; [min.] a kind of kāntaloha; chariot contenant les vases, les fournitures, et compos￩ d'un nīḍa et d'un prauga
3981	217813	droṇaputra	m	NOUN	168	name of Aśvatthāman
3982	126808	śaineya	m	NOUN	168	patr. of Satyaka or Sātyaki (the charioteer of Kṛṣṇa)
3983	164833	saṃsmṛ	1.P.,1.Ā.	VERB	168	to remember fully; to recollect
3984	60028	aśeṣatas	ind	ADV	168	totally; without remainder
3985	59880	aśakta	adj	ADJ	167	unable; incompetent (with Inf. or loc. or dat.); impotent
3986	90306	dyumna	n	NOUN	167	splendour; glory; majesty; power; strength; enthusiasm; inspiration; wealth; possession; food; name of a Sāman
3987	122835	vidhātṛ	m	NOUN	167	a distributer; disposer; arranger; accomplisher; maker; author; creator; a granter; giver; bestower; name of Brahmā (as the creator of the world and disposer of men's fate); Fate or Destiny (personified); name of Viṣṇu; name of Śiva; name of Kāma (god of love); name of Viśvakarman
3988	131593	śikṣā	f	NOUN	167	desire of being able to effect anything; wish to accomplish; learning; art; skill in; teaching; training; instruction; lesson; precept; chastisement; punishment; the science which teaches proper articulation and pronunciation of Vedic texts (one of the six Vedāṅgas); modesty; humility; diffidence; (?) helping; bestowing; imparting; the plant Bignonia Indica; phonetics; study; knowledge
3989	35191	nindā	f	NOUN	167	blame; censure; reproach; reviling; defamation; controversy; injury; outrage; (with Buddhists) one of the eight worldly conditions
3990	59177	āyāsa	m	NOUN	167	effort; exertion (of bodily or mental power); trouble; labour; fatigue; weariness
3991	59583	ārdraka	n	NOUN	167	ginger in its undried state; Zingiber officinale Rosc.
3992	208494	varjam	ind	ADV	167	(ifc.) with the exception of ...
3993	89103	jihma	adj	ADJ	167	oblique; transverse; squinting (as the eye); crooked; tortuous; curved; morally crooked; deceitful; false; dishonest; slow; lazy; dim; dulled
3994	138269	vilāsa	m	NOUN	167	shining forth; appearance; manifestation; sport; play; pastime; pleasure; diversion (esp. with women etc); coquetry; affectation of coyness; wantonness (a form of feminine gesture considered as indicative of amorous sentiments); liveliness; joviality (considered as a masculine virtue); wantonness; lust; grace; charm; beauty; name of a gram. wk; name of a preceptor; name of a washerman
3995	38183	uśīra	mn	NOUN	167	the fragrant root of the plant Andropogon Muricatus; Vetiveria zizanioides Nash.
3996	69532	raśanā	f	NOUN	167	a rope; cord; rein; bridle; girth; girdle; zone (esp. of woman); a ray of light; beam; the tongue; ceinture en herbes darbha tress￩es
3997	12548	kalaha	mn	NOUN	167	strife; contention; quarrel; fight; the sheath of a sword; a road; way; deceit; falsehood; violence without murderous weapons; abuse; beating; kicking
3998	116280	vrāta	m	NOUN	167	a multitude; flock; assemblage; troop; swarm; group; host; association; guild; the company or attendants at a marriage feast; the descendant of an out-caste Brāhman; a group of peripatatic laborers
3999	109201	harṣaṇa	adj	ADJ	167	causing the hair of the body to stand erect; thrilling with joy or desire; gladdening; delightful; pleasant
4000	114421	svatantra	adj	ADJ	167	self-dependent; self-willed; independent; free; of age; full grown
4001	162382	pracakṣ	1.Ā.,2.Ā.	VERB	167	to tell; to relate; to declare; to suppose; to regard or consider as (acc.); to name; to call
4002	165623	kampa	m	NOUN	166	trembling; tremor; earthquake; tremolous pronunciation; a kind of time (in music); a pillar; a dwarf-rafter; a roofing strip; [alchemy]
4003	157495	ativṛt	1.P.,1.Ā.	VERB	166	to pass beyond; to surpass; to cross; to get over; to overcome; to transgress; to violate; to offend; to pass away; to delay
4004	158134	śuṣ	6. Ā.	VERB	166	to dry; to become dry or withered; to fade; to languish; to decay
4005	146592	dāman	mn	NOUN	166	string; cord; rope; fetter; girdle; chaplet; wreath; garland for forehead; large bandage; a particular constellation; name of a friend of Kṛṣṇa = śridū; a knot; name of a son of Hṛdika
4006	116878	śarīrin	m	NOUN	166	an embodied being; creature; a man; the soul; an embodied spirit
4007	15734	patti	m	NOUN	166	a pedestrian; footman; foot-soldier; infantry; a hero; name of a people; the smallest unit of an army
4008	37031	marutvat	adj	ADJ	166	attended by the Maruts; containing the word marut
4009	213757	aha	ind	PART	166	f￼rwahr; forsooth; to wit
4010	168306	uddhṛ	1.P.,1.Ā.	VERB	166	to bring out of; to draw out; to raise up; to elevate; to honour
4011	131063	śava	mn	NOUN	166	a corpse; dead body; [bot.] the mango tree
4012	83841	trātṛ	m	NOUN	166	a protector; defender; one who saves from (abl. or gen.)
4013	81845	lopa	m	NOUN	166	breaking; hurting; injury; destruction; interruption; neglect; violation; transgression (of a vow or duty); robbing; plundering; want; deficiency; absence; disappearance; (in gram.) dropping; elision; name of Śiva
4014	137574	mūlaka	mn	NOUN	166	a radish; a sort of yam; Raphanus sativus Linn.; the root of Śigru
4015	120824	svaccha	adj	ADJ	166	very transparent or clear; pellucid; crystalline; bright-coloured; clear; distinct (as speech); pure (as the mind or heart); healthy; sound; convalescent (in this sense perhaps Prākṛt )
4016	55873	utthāna	n	NOUN	166	the act of standing up or rising; rising (of the moon etc.); resurrection; rising up to depart; leaving off; coming forth; appearing; bursting open; tumult; sedition; rise; origin; effort; exertion; manly exertion; manhood; evacuating (by stool etc.); an army; joy; pleasure; a book; a court-yard; a shed where sacrifices are offered; a term; limit; business of a family or realm; the care of subjects or dependants; reflection; proximate cause of disease; [??] Emporz￼ngeln einer Flamme; Entwicklung (einer Krankheit etc.); [alchemy] = utthāpana; closing (a sacrificial session)
4017	170048	pracchad	1.P.	VERB	166	to hide; to conceal
4018	76188	vāgyata	adj	ADJ	166	restrained in speech; reserved; silent
4019	50979	cāndrāyaṇa	n	NOUN	166	a fast regulated by the moon
4020	64869	yuyudhāna	m	NOUN	166	name of a son of Satyaka; a Kṣatriya; warrior; name of Indra
4021	153149	prāvṛṣ	f	NOUN	165	the rainy season; wet season; rains (the months Āshāḍha and Śravaṇa)
4022	87716	jambha	m	NOUN	165	a tooth; eye-tooth; tusk; set of teeth; mouth; jaws (du.); swallowing; name of several demons; [bot.] a kind of plant (= jambhīra??); name of a Daitya; Mundsperre
4023	143101	vedhas	m	NOUN	165	a worshipper of the gods; an arranger; disposer; creator (esp. applied to Brahmā); an author; a wise or learned man; name of the father of Hariścandra; the god Brahmā; ein Meister
4024	8431	saṃsthā	f	NOUN	165	staying or abiding with; shape; form; manifestation; appearance; established order; standard; rule; direction; quality; property; nature; conclusion; termination; completion; end; death; destruction of the world; a complete liturgical course; the basis or essential form of a sacrifice; a basic form (of something; ifc.); ach￨vement du rite; forme de base d'une f￩rie
4025	48721	bhadanta	m	NOUN	165	a term of respect applied to a Buddhist; a Buddhist mendicant
4026	35233	nipuṇa	adj	ADJ	165	clever; adroit; skilful; sharp; acute; skilled in; conversant with; capable of (mostly comp.); kind or friendly towards; delicate; tender; perfect; complete; absolute (as purity)
4027	6121	aṅkuśa	mn	NOUN	165	a hook; especially an elephant-driver's hook
4028	529	kaṅka	m	NOUN	165	heron (the first heron is supposed to be a son of SurasA); a kind of mango; name of Yama; name assumed by Yudhiṣṭhira (before king Virāṭa); false or pretended Brāhman; man of the second or military tribe; one of the eighteen divisions of the continent; name of a people; name of a son of Ugrasena; name of a mountain; a form of Śiva
4029	37120	martya	adj	ADJ	165	who or what must die; mortal
4030	21477	apūrva	adj	ADJ	165	unpreceded; unprecedented; not having existed before; quite new; unparalleled; incomparable; extraordinary; not first; preceded by a
4031	158770	pyā	2. Ā.	VERB	165	to swell; to be exuberant; to overflow; anschwellen lassen; to abound with
4032	129364	gaṇḍa	mn	NOUN	165	the cheek; whole side of the face including the temple; the side; a bubble; boil; pimple; a goitre or any other excrescence of the neck; a joint; bone; the bladder; a mark; spot; part of a horse's trappings; stud or button fixed as an ornament upon the harness; a rhinoceros; a hero; best; excellent (only in comp); name of the 10th astrological Yoga; an astronomical period; [alchemy] (ein Fehler in einem Stoff?)
4033	145547	pūti	adj	ADJ	165	putrid; foul-smelling; stinking; fetid; ill-smelling (after a finite verb expressive of blame or censure); rotten
4034	96023	tadanu	ind	ADV	165	afterwards
4035	157749	tāpay	10. Ā.	VERB	165	to cause pain; to trouble; to make warm or hot; to undergo penance
4036	70549	rājata	adj	ADJ	165	silvery; made of silver; silver
4037	7538	adarśana	n	NOUN	165	non-vision; not seeing; disregard; neglect; non-appearance; latent condition; disappearance
4038	163530	vimṛś	6.Ā.,6.P.	VERB	165	to touch (with the hands); to stroke; to feel; to touch (mentally); to be sensible or aware of; to perceive; to consider; to reflect on; to deliberate about; to investigate; to examine; to try; to test; to hesitate about doing anything
4039	130986	śāyin	adj	ADJ	165	lying down; reclining; resting; abiding
4040	10689	anukūla	adj	ADJ	164	according to the current; favourable; friendly; kind
4041	146662	dārikā	f	NOUN	164	a girl; a harlot; a daughter
4042	167468	āpūray	10.P.,10.Ā.	VERB	164	to fill; to inhale
4043	25908	bhedin	adj	ADJ	164	breaking; splitting; piercing; perforating; beating or knocking out; shaking; penetrating; causing to flow (as juice); loosening (the bowels); cathartic; purgative; breaking; violating (an agreement etc.); interrupting (devotion); disturbing (a country); dividing; separating from (abl.); having a distinction or division; (in phil.) one who separates spirit and matter or holds the doctrine of dualism
4044	99041	sūci	f	NOUN	164	a needle or any sharppointed instrument (e.g. "a needle used in surgery"); the sharp point or tip of anything or any pointed object; a rail or balustrade; a small doorbolt; a kind of military array; an index; table of contents (in books printed in India); a triangle formed by the sides of a trapezum produced till they meet; a cone; pyramid; (in astron) the earth's disc in computing eclipses (or "the corrected diameter of the earth"); gesticulation; dramatic action; a kind of coitus; sight; seeing; name of a position in dancing
4045	218729	gopā	m	NOUN	164	a cowboy; a protector; a herdsman
4046	120951	vyañjana	n	NOUN	164	decoration; ornament; manifestation; indication; allusion; suggestion; figurative expression; irony; sarcasm; specification; a mark; badge; spot; sign; token; insignia; paraphernalia; symptom (of a disease); mark of sex or gender (as the beard); the private organs (male or female); anything used in cooking or preparing food; seasoning; sauce; condiment; a consonant; a syllable; the letter (as opp. to arha); a limb; member; part; a day; purification of a sacrificial animal; a fan; Beilage (beim Essen)
4047	56069	utsaṅga	m	NOUN	164	the haunch or part above the hip; lap; any horizontal area or level (as a roof of a house etc.); the bottom or deep part of an ulcer; embrace; association; union; a particular position of the hands; [medic.] a kind of bandage; [medic.] name of a disease of the eyelid; name of Śiva
4048	162331	prakup	4.P.	VERB	164	to be moved or agitated; to become enraged; to fly into a passion
4049	39760	evaṃrūpa	adj	ADJ	164	of such a form or kind
4050	162564	pratibhā	2.P.	VERB	164	to seem fit; to appear good; to please to (gen.or acc.); to shine upon; to come in sight; to appear to the mind; to become clear; to seem to
4051	9602	adhīna	adj	ADJ	164	resting on or in; situated; depending on; subject to; subservient to
4052	162659	pratiṣidh	1.P.,1.Ā.	VERB	164	to drive away; to keep back; to ward off; to prevent; to restrain from (abl.); to forbid; to prohibit; to disallow; to negate (a verb etc.)
4053	157603	gaṇay	10. Ā.	VERB	164	to count; to number; to enumerate; to sum up; to add up; to reckon; to take into account; to think worth; to value; to consider; to regard as (with double acc.); to enumerate among; to ascribe; to attribute to; to attend to; to take notice of; to imagine; to excogitate; to count one's number (said of a flock or troop)
4054	83791	trayastriṃśat	f	NUM	163	33
4055	21985	abdhi	m	NOUN	163	a pond; lake; the ocean; the numeral 4; a kind of plant
4056	164939	saṃtarpay	10.P.,10.Ā.	VERB	163	to feed on (instr.); to satiate; to invigorate; to feed; to feast
4057	140026	pratiṣṭhiti	f	NOUN	163	standing firmly; a firm stand or footing; support; stability
4058	128891	khura	mn	NOUN	163	a hoof; horse's hoof; a particular part of the foot of a bedstead; a sort of perfume (dried shellfish shaped like a hoof); a razor; a (false) plinth; [alchemy] = khuraka, a kind of tin
4059	221448	stotriya	m	NOUN	163	Bezeichnung f￼r eine Versterzine, die Teil eines stotra ist, aber von einem hotraka zu Beginn des zugeh￶rigen śastra rezitiert wird; a strophe
4060	164873	saṃkṣip	4.P.,6.Ā.,6.P.	VERB	163	to throw or heap together; to pile up; to concentrate (the mind); to suppress; to restrain; to dash together; to destroy; to condense; to compress; to contract; to abridge; to shorten; to diminish
4061	53742	alābha	m	NOUN	163	non-acquirement; want; deficiency; loss (in selling goods); loss (of life)
4062	51335	cikitsita	n	NOUN	163	(pl.) the chapters of the therapeutical section (of med.)
4063	123029	vibandha	m	NOUN	163	encircling; encompassing; a circular bandage; obstruction; constipation; a remedy for promoting obstruction
4064	160799	gālay	10. P.	VERB	163	[alchemy]; etw. aufl￶sen
4065	45168	upaniṣad	f	NOUN	162	(according to some) the sitting down at the feet of another to listen to his words; the mystery which underlies or rests underneath the external system of things; esoteric doctrine; secret doctrine; mysterious or mystical meaning; words of mystery; a class of philosophical writings
4066	11209	anurāga	m	NOUN	162	attachment; affection; love; passion; red colour
4067	210217	kimartham	ind	ADV	162	why?
4068	159835	bhakṣ	4. P.	VERB	162	to eat; to devour; to partake of; to sting; to bite; to consume; to use up; to waste; to destroy; to drain the resources of; to impoverish; to cause anything (acc.) to be eaten by (acc. or instr.); to drink
4069	164801	saṃsañj	1.P.,1.Ā.	VERB	162	to adhere; to stick to; to encounter; to engage in close combat with (instr); to hesitate; to falter (in voice); to flow together; to be joined; to be occasioned; to arise (as a battle); to attach to a yoke
4070	160112	utkṣip	6.P.	VERB	162	to throw up; to raise; to set up; to erect; to throw away; to reject; to get rid of; to vomit up
4071	57987	āditas	ind	ADV	162	from the beginning; from the first; at first; at the head of
4072	94465	pāvaka	adj	ADJ	162	pure; clear; bright; shining; relating to Agni
4073	39761	evaṃvid	adj	ADJ	162	knowing so or thus; well instructed; familiar with what is right
4074	21493	apāya	m	NOUN	162	going away; departure; destruction; death; annihilation; injury; loss; misfortune; evil; calamity; diminution
4075	112748	sāmidhenī	f	NOUN	162	a verse recited while the sacrificial fire is kindled
4076	111106	hotrā	f	NOUN	162	the function or office of a priest (esp. of the Hotrakas); Opferguss; the Hotṛ office
4077	158653	dīkṣay	10. Ā.	VERB	162	to consecrate as a king; to make ready; to prepare; to initiate
4078	162112	parimā	3.Ā.	VERB	162	to measure round or about; to mete out; to fulfil; to embrace; to measure; to estimate; to determine
4079	59199	āyu	m	NOUN	162	a living being; man; living beings collectively; mankind; son; descendant; offspring; family; lineage; a divine personification presiding over life; name of fire (as the son of Purūravas and Urvaśī); name of a man persecuted by Indra; name of several other men; name of a king of frogs
4080	162432	praṇud	6.Ā.,2.P.,6.P.	VERB	162	to push on; to propel; to set in motion; to drive or scare away; to repel
4081	64907	yuvati	f	NOUN	162	a girl; young woman; any young female animal; turmeric
4082	145504	puṣya	mn	NOUN	162	name of the 6th (or 8th) lunar asterism; the conjunction of the moon with Puṣya; name of the month Pauṣa; name of the Kaliyuga or fourth age; name of one of the 24 mythical Buddhas; name of various princes
4083	109125	harmya	n	NOUN	162	a large house; palace; mansion; any house or large building or residence of a wealthy person; a stronghold; prison; a fiery pit; place of torment; region of darkness; the nether world; ein festes Haus
4084	6690	aṭavī	f	NOUN	162	a forest
4085	159591	muṣ	9. Ā.	VERB	162	to steal; to rob; to plunder; to carry off; to ravish; to captivate; to enrapture (the eyes or the heart); to blind; to dazzle (the eyes); to cloud; to obscure (light or the intellect); to break; to destroy
4086	164714	saṃlakṣay	10.P.,10.Ā.	VERB	162	to distinguish by a mark; to characterize; to mark distinctly; to observe; to see; to perceive; to feel; to hear; to learn; to test; to prove; to try
4087	164897	saṃci	5.Ā.,5.P.	VERB	161	to heap together; to pile up; to heap up; to arrange; to put in order; to accumulate; to gather together; to collect; to acquire
4088	38172	uśanas	m	NOUN	161	name of an ancient sage with the patronymic Kāvya; name of the planet Venus; name of the author of a Dharmaśāstra; name of a son of Suyajña
4089	132826	śiśira	mn	NOUN	161	cold; coolness; hoarfrost; dew; the cool or dewy season
4090	116759	śambara	m	NOUN	161	name of a demon; cloud; a weapon; war; fight; a kind of deer; a fish or a kind of fish; Terminalia Arunja; Symplocos Racemosa; a mountain in general or a particular mountain; best; excellent; = citraka; name of of a Jina; name of a king; name of a juggler; name of an enemy of Kāma
4091	68963	vayas	n	NOUN	161	a bird; any winged animal; the winged tribe (esp. applied to smaller birds)
4092	151282	prajāti	f	NOUN	161	generating or generative power; generation; production; bringing forth; delivery; initiation with the sacred thread (as causing second birth); Prajāti formula
4093	35440	madhu	adj	ADJ	161	sweet; delicious; pleasant; charming; delightful; bitter or pungent
4094	157164	takṣ	5. P.	VERB	161	to form by cutting; to plane; to chisel; to chop; to cut; to split; to fashion; to form (out of wood etc.); to make; to create; to form in the mind; to invent; to make (any one young); to make able or prepare for (dat.); (in math.) to reduce by dividing; to skin
4095	121229	vidatha	n	NOUN	161	knowledge; wisdom; instruction; direction; order; arrangement; disposition; rule; command; a meeting; assembly (either for deliberating or for the observance of festive or religious rites); council; community; association; congregation; a host; army; body of warriors (esp. applied to the Maruts); war; fight; a sage; scholar; a saint; devotee; ascetic; = kṛtin; name of a man; Opfer
4096	157393	pṛ	1. P.	VERB	161	to bring over; to deliver from; to save; to protect; to promote; to excel; to guide
4097	43251	dhruvā	f	NOUN	161	the largest of the 3 sacrificial ladles; a particular mode of life; a virtuous woman; Desmodium Gangeticum; Sanseviera Zeylanica; (in music) the introductory verse
4098	23966	kukkuṭa	m	NOUN	161	a cock; a wild cock (Phasianus gallus); the plant Marsilea quadrifolia; a whisp of lighted straw or grass; a firebrand; spark of fire; the offspring of a Nishāda by a Śūdra woman; [alchemy] a kind of Puṭa
4099	66761	ramaṇīya	adj	ADJ	161	to be enjoyed; pleasant; agreeable; delightful; charming
4100	159740	āci	5.Ā.,5.P.	VERB	161	to accumulate; to cover with (instr.); (einen Wagen) beladen
4101	106582	sīsa	n	NOUN	161	lead; the leaden weight used by weavers
4102	170056	māmaka	adj	ADJ	161	mine
4103	167097	kṣapay	10. Ā.	VERB	161	to destroy; to ruin; to weaken; to make an end of; vernichten; zu Grunde richten; ein Ende machen; aus dem Wege r￤umen; wegschaffen; ￼bel mitnehmen; herunterbringen; schw￤chen; verbringen
4104	16456	paramāṇu	m	NOUN	160	an infinitesimal particle or atom (30 are said to form a mote in a sun-beam); the passing of a sun-beam past an atom of matter
4105	168103	ghāta	m	NOUN	160	stroke; killing; execution
4106	131071	śaśa	m	NOUN	160	a hare; rabbit; antelope (the markings on the moon are supposed to resemble a hare or rabbit); a kind of meteor; name of a man born under a particular constellation; a man of mild character and easily led (one of the four classes into which men are divided by erotic writers); the Lodhra tree; Symplocos Racemosa; gum-myrrh; name of a part of Jambudvīpa
4107	122620	viḍaṅga	mf	NOUN	160	Embelia ribes Burm.F.; Embelia tsjeriam-cottam A. DC.; Embelia robusta Roxb.
4108	166066	rasāyana	adj	ADJ	160	wie ein rasāyana wirkend
4109	11172	anuyāja	m	NOUN	160	a secondary or final sacrifice; after-offering
4110	213433	vi	mn	NOUN	160	[gramm.] the prefix vi; [gramm.] das vi der kṛt-Suffixe kvin, kvip, ṇvi, ṇvin, vic und viṭ und des taddh. cvi; a bird
4111	158484	spṛ	9. Ā.	VERB	160	to release; to extricate or deliver from (abl.); to save; to gain; to win; to preserve; to save; to rescue; to gladden; to delight; to gratify; to bestow; in Sicherheit bringen
4112	121922	hanu	mf	NOUN	160	a jaw
4113	87553	janana	n	NOUN	160	birth; coming into existence; production; causation; race; lineage; birthplace; rebirth
4114	1174	aṃśuka	mn	NOUN	160	cloth; fine or white cloth; muslin; garment; upper garment; tie (for binding a churning-stick); the leaf of Laurus Cassia
4115	20046	paryaṅka	m	NOUN	160	a bed; couch; sofa; litter; palanquin; a particular mode of sitting on the ground (a squatting position assumed by ascetics and Buddhists in meditation); a cloth wound round the back and loins and knees while so sitting; name of a mountain (son of Vindhya)
4116	159699	kalay	10. Ā.	VERB	160	to impel; to incite; to urge on; to bear; to carry; to betake one's self to; to do; to make; to accomplish; to utter a sound; to murmur; to tie on; to attach; to affix; to furnish with; to observe; to perceive; to take notice of; to consider; to count; to take for; to reckon up
4117	73604	yatheṣṭa	adj	ADJ	160	agreeable to wish; desired
4118	17350	sadhastha	n	NOUN	160	place of meeting; any place; spot; abode; home; region; world
4119	59882	aśakya	adj	ADJ	160	impossible; impracticable; impossible to be composed (as a book) or to be executed (as an order); not to be overcome; invincible
4120	7284	atiśaya	m	NOUN	159	pre-eminence; eminence; superiority in quality or quantity or numbers; advantageous result; one of the superhuman qualities attributed to Jaina Arhats
4121	147895	bālā	f	NOUN	159	a female child; girl; young woman (esp. one under 16 years); a one year old cow; small cardamoms; Aloe Indica Royle; a kind of metre; a particular mystical prayer; name of the mother of Vālin and Sugriva (said to have been formed by Prajāpati out of some dust which had fallen into his eyes); Pavonia odorata Willd.; Hibiscus tortuosus; Elettaria cardamomum Maton; Cocos nucifera Linn.; Barleria cristata Linn.; Barleria prionitis Linn.
4122	57645	āḍhaka	mn	NOUN	159	a measure of grain (= 1/4 droṇa = 4 prasthas = 16 kudavas = 64 palas = 256 karshas = 4096 māshas)
4123	41842	ṣaḍguṇa	adj	ADJ	159	sixfold; six times; having six excellencies or advantages
4124	114774	śastra	n	NOUN	159	invocation; praise (applied to any hymn recited either audibly or inaudibly); reciting; recitation
4125	161685	paricar	1.P.,1.Ā.	VERB	159	to move or walk about; to go round (acc.); to circumambulate; to attend upon or to (acc); to serve; to honour; herrichten; to surround
4126	159065	abhiṣu	5.P.	VERB	159	to press out; to moisten
4127	86243	dūrvā	f	NOUN	159	bent grass; panic grass; Dūrb grass; Panicum dactylon Linn.; Cynodon dactylon Pers.
4128	93922	pāyu	mn	NOUN	159	the anus
4129	26810	mañjiṣṭhā	mf	NOUN	159	Indian madder; Rubia munjista Roxb.; Rubia sikkimensis Kurz; a kind of prameha; Rubia cordifolia Linn.
4130	135044	kṣudhā	f	NOUN	159	a mystical name of the letter y
4131	219607	dhā	adj	ADJ	159	procuring; gew￤hrend
4132	6363	acira	adj	ADJ	159	not of long duration; brief; instantaneous; recent
4133	69152	varā	f	NOUN	159	Clypea Hemandifolia; Asparagus racemosus Willd.; Cocculus Cordifolius; turmeric; Embelia Ribes; a root similar to ginger; = brāhrnī and reṇukā; name of Pārvatī; name of a river; alcohol; the 3 Myrobalans; triphalā; Cocculus villosus DC.; Piper aurantiacum Wall.
4134	6373	acetana	adj	ADJ	159	without consciousness; inanimate; unconscious; insensible; senseless; fainting
4135	127914	śyāmā	f	NOUN	158	a woman with peculiar marks or characteristics; a name or form of Durgā (worshipped by the Tāntrikas); name of Yamunā; name of a daughter of Meru (an incarnation of Gaṅgā); name of a princess; name of a goddess who executes the commands of the 6th Arhat or of the mother of the 13th Arhat (with Jainas); a kind of bird (either "the female of the Indian cuckoo" or "a hen-sparrow"); name of various plants; night; the earth; name of a river; a shadow; Vanda Roxburghii; Panicum frumentaceum Roxb.; [alchemy] one of the kañcukas of mercury; = śyāma; Indigofera tinctoria Linn.; schwarze Art von trivṛt; Piper longum Linn.; = gorocanā; a sixteen years old woman; night
4136	38031	urvaśī	f	NOUN	158	name of an Apsaras who became the wife of Purūravas; personification of the dawn; name of a river
4137	112062	sāttvika	adj	ADJ	158	spirited; vigorous; energetic; relating to or endowed with the quality Sattva; pure; true; genuine; honest; good; virtuous; caused by internal feeling or sentiment; natural; not artificial; unaffected (as style); internal
4138	109919	hikkā	f	NOUN	158	hiccup; sob; a spasmodic sound in the throat; an owl
4139	6802	atandrita	adj	ADJ	158	unwearied
4140	77667	mahāvrata	n	NOUN	158	fundamental duty (5 in number); name of a Sāman or Stotra appointed to be sung on the last day but one of the Gavāmayana (applied also to the day itself or its ceremonies); the religious usages of the Pāśupatas; a kind of vrata
4141	113356	sāvitra	adj	ADJ	158	relating to the sun; belonging to the solar dynasty; relating to Karṇa; accompanied by the Sāvitrī verse
4142	151293	prajāvat	adj	ADJ	158	having or granting offspring or children; prolific; fruitful
4143	130229	gātu	m	NOUN	158	going; motion; unimpeded motion; way; course; egress; progress; increase; welfare; free space for moving; place of abode ("earth"); success; passage
4144	56606	udgītha	m	NOUN	158	chanting of the Sāmaveda (especially of the exact Sāmaveda without the additions); the second part of the Sāmaveda; name of a son of Bhuva; name of a son of Bhūman; name of a commentator of Vedic texts; the syllable om (the triliteral name of God)
4145	164612	vyākṛ	8.P.,8.Ā.	VERB	158	to undo; to sever; to divide; to separate from (instr.); to expound; to explain; to declare; (with Buddhists) to predict (esp. future births); to prophesy anything (acc.) about any one (acc.)
4146	3465	kṛtakṛtya	adj	ADJ	158	one who has done his duty or accomplished a business; one who has attained any object or purpose; contented; satisfied with
4147	132616	śibira	n	NOUN	158	a royal camp or residence; tent in a royal camp; any tent; an entrenchment for the protection of an army; a sort of grain; a town near to the border of an enemy prince
4148	16913	sadbhāva	m	NOUN	158	real being; existence; the being true; truth; name of a goddess
4149	17129	sādana	n	NOUN	158	causing to sink; wearying; exhausting; destroying; setting down; arranging (of vessels etc.); sinking in (of wheels); a seat; house; dwelling; place; home
4150	122922	viniścaya	m	NOUN	158	deciding; settling; ascertainment; settled opinion; decision; firm resolve regarding
4151	62408	āvali	f	NOUN	157	a row; range; a continuous line; a series; dynasty; lineage; (rhet.) a kind of yamaka; a necklace
4152	36945	marīci	m	NOUN	157	name of a Prajāpati; name of the star in the great Bear; name of Kṛṣṇa (as a Marut); name of a Daitya; name of a Maharshi; name of the father of Paurṇamāsa; name of a king (son of Samrāj and father of Bindumat); name of a son of Tīrthaṃkara ṣabha; a miser; niggard; [rel.] name of Śiva
4153	146784	diti	f	NOUN	157	name of a deity answering to Aditi  as Sura to Asura and without any distinct character
4154	160800	guṇay	Denom. P.	VERB	157	to multiply; to advise; to invite; to repeat (a word)
4155	163436	vipac	4.P.,1.P.,1.Ā.,4.Ā.	VERB	157	to cook thoroughly; to dissolve by cooking or boiling; to be cooked or baked or roasted; to be digested; to be completely matured or ripened or developed; to bear fruit; to develop consequences
4156	83803	trayodaśa	adj	ADJ	157	the 13th; consisting of 13 parts
4157	157898	anupraviś	6.Ā.,6.P.	VERB	157	to enter; to be involved in
4158	106322	sindhu	mn	NOUN	157	flood; waters; ocean; sea; a symbolical term for the number 4; name of Varuṇa (as god of the ocean); the moisture of the lips; water ejected from an elephant's trunk; the exudation from an elephant's temples; the country around the Indus (commonly called Sindh); a king of Sindh (?); name of Viṣṇu; white or refined borax; (in music) a particular Rāga; name of a king of the Gandharvas; name of a serpent-demon; name of various men; coral
4159	4830	kokila	m	NOUN	157	the Indian cuckoo; a kind of mouse; a kind of snake; a kind of venomous insect; a kind of sugar-cane; a lighted coal; name of an author; name of a Rājaputra (considered as a Ṛṣi); name of a mouse; charcoal; [alchemy] a kind of crucible; [alchemy] a kind of charcoal
4160	100528	daṃśa	m	NOUN	157	a bite; sting; the spot bitten (by a snake etc.); snake-bite; pungency; a flaw (in a jewel); a tooth; a stinging insect; gnat; gad-fly; name of an Asura; armour; mail; a joint of the body; [gramm.] the verb daṃś
4161	107809	sundarī	f	NOUN	157	a beautiful woman; any woman; a kind of tree; turmeric; a particular metre; name of a deity; name of a Yogini; name of an Apsaras; name of a daughter of Śvaphalka; name of a daughter of Vaiśvānara; name of the wife of Mālyavat; name of various other women; [alchemy] name of a magical pill; name of a daughter of the Śabara king Śrīcaṇḍa
4162	39601	ekākin	adj	ADJ	157	alone; solitary
4163	135070	kṣobha	m	NOUN	157	shaking; agitation; disturbance; tossing; trembling; emotion; (in dram.) an emotion that is the cause of any harsh speeches or reproaches
4164	176679	saced	ind	ADV	157	if
4165	160522	uparam	1.Ā.,1.P.	VERB	157	to cease from motion; to stop; to cease from action; to be inactive or quiet (as a quietist); to pause; to stop (speaking or doing anything); to leave off; to desist; to give up; to renounce (with abl.); to await; to wait for; to cause to cease or stop; to render quiet; to fall silent
